kurstyp,kursnummer,kurstitel,kursuntertitel,datum,zeit,lehrmittel,kursort,wegbeschreibung
intensiv,"Kurs 0210-E4","Einstieg Deutsch A1/1","Langsamer Einstiegskurs mit Konversation","21. April - 25. Juni 2020; jeweils Di. Mi. Do.","08.45 – 11.10 Uhr; 72.5 Kursstunden; Fr. 485.75","Domino Deutsch 1 ab Kapitel 6",,
intensiv,"Kurs 0210","Beginn A1/0","Anfänger/innen ohne Vorkenntnisse, die das Alphabet gut kennen","20. April - 26. Juni 2020; jeweils noch offen","Zeit noch unbekannt; 75 Kursstunden; Fr. 500.--","Schritte plus neu 1 ab Lektion 1",,
test,test,test,tet,t,t,t,t,t
